track_id,track_name,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_type,album_total_tracks,track_duration_min,release_year,release_decade,popularity_90_plus,recent_release,explicit_label,genre_available,artist_track_count,artist_10_plus,genre_track_count,genre_30_plus
5qtPsIs6BHsOGmlFsbpgL1,Rivendell,28,False,Chance Thomas,34.0,4430.0,medieval,The Lord of the Rings Online (10th Anniversary Commemorative Soundtrack),album,26,2.06,2017,2010s,False,False,Non Explicit,Genre Available,2.0,Below 10 Tracks,38.0,30+ Tracks
3AJwUDP919kvQ9QcozQPxg,Yellow,90,False,Coldplay,88.0,60804949.0,,Parachutes,album,10,4.45,2000,2000s,True,False,Non Explicit,Genre Missing,39.0,10+ Tracks,,Genre Missing
776AftMmFFAWUIEAb3lHhw,ZITTI E BUONI,71,True,Måneskin,76.0,10636129.0,,Teatro d'ira - Vol. I,compilation,8,3.25,2021,2020s,False,False,Explicit,Genre Missing,26.0,10+ Tracks,,Genre Missing
7BhmwvCdQZNwuQXSHw5TzP,Headlights (feat. KIDDO),68,False,Alok,76.0,11247155.0,"brazilian bass, electronic, slap house, electro house",Headlights (feat. KIDDO),single,1,2.64,2022,2020s,False,False,Non Explicit,Genre Available,7.0,Below 10 Tracks,7.0,Below 30 Tracks
1De425SCFJULIHbcmeebUw,LET THE WORLD BURN,79,False,Chris Grey,72.0,963679.0,dark r&b,LET THE WORLD BURN,single,2,2.72,2024,2020s,False,True,Non Explicit,Genre Available,5.0,Below 10 Tracks,111.0,30+ Tracks
3xIMkM5LgbVDkpO74O3Np3,Rush,26,True,Troye Sivan,72.0,9463490.0,,Rush,single,1,2.61,2023,2020s,False,False,Explicit,Genre Missing,8.0,Below 10 Tracks,,Genre Missing
0ILLfGp9z1pukpjifsfkxx,Running Cold,53,False,Besomorph,58.0,146944.0,slap house,Running Cold,single,1,3.01,2025,2020s,False,True,Non Explicit,Genre Available,14.0,10+ Tracks,29.0,Below 30 Tracks
6fxVffaTuwjgEk5h9QyRjy,Photograph,73,False,Ed Sheeran,88.0,122773292.0,soft pop,x (Wembley Edition),album,24,4.32,2013,2010s,False,False,Non Explicit,Genre Available,53.0,10+ Tracks,209.0,30+ Tracks
0kVbqPkUBwEMcUmXw4ZuMX,Where Are You?,59,False,Elvis Drew,55.0,68408.0,dark r&b,Where Are You?,single,1,2.57,2020,2020s,False,False,Non Explicit,Genre Available,8.0,Below 10 Tracks,111.0,30+ Tracks
3gbBpTdY8lnQwqxNCcf795,Pompeii,70,False,Bastille,72.0,5647181.0,,Bad Blood,album,15,3.57,2013,2010s,False,False,Non Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
7HuBDWi18s4aJM8UFnNheH,King Of My Heart,73,False,Taylor Swift,100.0,145396321.0,,reputation,album,15,3.57,2017,2010s,False,False,Non Explicit,Genre Missing,331.0,10+ Tracks,,Genre Missing
0pxNyJJiL2zZZ5GgJ4JhsQ,6 Inch (feat. The Weeknd),60,True,Beyoncé,84.0,41172203.0,,Lemonade,album,13,4.34,2016,2010s,False,False,Explicit,Genre Missing,49.0,10+ Tracks,,Genre Missing
2b8fOow8UzyDFAE27YhOZM,Memories,33,False,Maroon 5,85.0,45764832.0,pop,Memories,single,1,3.16,2019,2010s,False,False,Non Explicit,Genre Available,31.0,10+ Tracks,303.0,30+ Tracks
4TkNyuyiF2YgYi0FAabEqI,Hurt Me Most,41,False,weknewnothing,27.0,3637.0,,Hurt Me Most,single,6,2.36,2025,2020s,False,True,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
2LGdO5MtFdyphi2EihANZG,Knee Socks,75,False,Arctic Monkeys,84.0,32059138.0,"indie, garage rock",AM,album,12,4.29,2013,2010s,False,False,Non Explicit,Genre Available,10.0,10+ Tracks,10.0,Below 30 Tracks
7hOkcRxE5AQiKbi7qImu78,"1, 2, 3 (with Topic)",38,False,Oliver Cronin,39.0,65719.0,,"1, 2, 3 (with Topic)",single,1,2.19,2023,2020s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
5zeaIcBVA0Ta8JVp1S5zDM,Define Dancing,53,False,Thomas Newman,60.0,277497.0,soundtrack,WALL-E (Original Motion Picture Soundtrack),compilation,38,2.39,2008,2000s,False,False,Non Explicit,Genre Available,5.0,Below 10 Tracks,346.0,30+ Tracks
